id,english_name,hebrew_name,current
0,Bereishit,בראשית,1
1,Noach,נח,0
2,"Lech Lecha","לך לך",0
3,Vayera,וירא,0
4,"Chayei Sara","חיי שרה",0
5,Toldot,תולדות,0
6,Vayeitze,ויצא,0
7,Vayishlach,וישלח,0
8,Vayeshev,וישב,0
9,Miketz,מקץ,0
10,Vayigash,ויגש,0
11,Vayechi,ויחי,0
12,Shmot,שמות,0
13,Va'era,וארא,0
14,Bo,בא,0
15,Beshalach,בשלח,0
16,Yitro,יתרו,0
17,Mishpatim,משפטים,0
18,Truma,תרומה,0
19,Tetzave,תצוה,0
20,"Ki Tisa","כי תשא",0
21,Vayakhel,ויקהל,0
22,Pekudei,פקודי,0
23,Vayikra,ויקרא,0
24,Tzav,צו,0
25,Shmini,שמיני,0
26,Tazria,תזריע,0
27,Metzora,מצורע,0
28,"Acharei Mot","אחרי מות",0
29,Kedoshim,קדושים,0
30,Emor,אמור,0
31,Behar,בהר,0
32,Bechukotai,בחוקותי,0
33,Bamidbar,במדבר,0
34,Naso,נשא,0
35,Beha'alotch,בהעלותך,0
36,Shlach,שלח,0
37,Korach,קרח,0
38,Chukat,חוקת,0
39,Balak,בלק,0
40,Pinchas,פנחס,0
41,Matot,מטות,0
42,Masei,מסעי,0
43,Dvarim,דברים,0
44,Va'etchanan,ואתחנן,0
45,Eikev,עקב,0
46,Re'eh,ראה,0
47,Shoftim,שופטים,0
48,"Ki Tetze","כי תצא",0
49,"Ki Tavo","כי תבוא",0
50,Nitzavim,ניצבים,0
51,Vayelech,וילך,0
52,Ha'azinu,האזינו,0
53,"Vezot Habracha","וזאת הברכה",0
